"_time","Rate (Avg) /s"
"2024-05-09T06:19:00.000+00:00",73485
"2024-05-09T06:19:30.000+00:00",73489
"2024-05-09T06:20:00.000+00:00",73493
"2024-05-09T06:20:30.000+00:00",73498
"2024-05-09T06:21:00.000+00:00",73696
"2024-05-09T06:21:30.000+00:00",73812
"2024-05-09T06:22:00.000+00:00",73816
"2024-05-09T06:22:30.000+00:00",73820
"2024-05-09T06:23:00.000+00:00",73824
"2024-05-09T06:23:30.000+00:00",73950
"2024-05-09T06:24:00.000+00:00",74139
"2024-05-09T06:24:30.000+00:00",74144
"2024-05-09T06:25:00.000+00:00",74148
"2024-05-09T06:25:30.000+00:00",74154
"2024-05-09T06:26:00.000+00:00",74206
"2024-05-09T06:26:30.000+00:00",74448
"2024-05-09T06:27:00.000+00:00",74471
"2024-05-09T06:27:30.000+00:00",74477
"2024-05-09T06:28:00.000+00:00",74480
"2024-05-09T06:28:30.000+00:00",74485
"2024-05-09T06:29:00.000+00:00",74672
"2024-05-09T06:29:30.000+00:00",74807
"2024-05-09T06:30:00.000+00:00",74835
"2024-05-09T06:30:30.000+00:00",74919
"2024-05-09T06:31:00.000+00:00",75155
"2024-05-09T06:31:30.000+00:00",75328
"2024-05-09T06:32:00.000+00:00",75540
"2024-05-09T06:32:30.000+00:00",75544
"2024-05-09T06:33:00.000+00:00",75548
"2024-05-09T06:33:30.000+00:00",75552
"2024-05-09T06:34:00.000+00:00",75582
"2024-05-09T06:34:30.000+00:00",75819
"2024-05-09T06:35:00.000+00:00",75871
"2024-05-09T06:35:30.000+00:00",75995
"2024-05-09T06:36:00.000+00:00",76177
"2024-05-09T06:36:30.000+00:00",76277
"2024-05-09T06:37:00.000+00:00",76281
"2024-05-09T06:37:30.000+00:00",76285
"2024-05-09T06:38:00.000+00:00",76292
"2024-05-09T06:38:30.000+00:00",76336
"2024-05-09T06:39:00.000+00:00",76572
"2024-05-09T06:39:30.000+00:00",76609
"2024-05-09T06:40:00.000+00:00",76617
"2024-05-09T06:40:30.000+00:00",76621
"2024-05-09T06:41:00.000+00:00",76626
"2024-05-09T06:41:30.000+00:00",76734
"2024-05-09T06:42:00.000+00:00",76788
"2024-05-09T06:42:30.000+00:00",76792
"2024-05-09T06:43:00.000+00:00",76796
"2024-05-09T06:43:30.000+00:00",76800
"2024-05-09T06:44:00.000+00:00",76877
"2024-05-09T06:44:30.000+00:00",76962
"2024-05-09T06:45:00.000+00:00",76966
"2024-05-09T06:45:30.000+00:00",76970
"2024-05-09T06:46:00.000+00:00",76976
"2024-05-09T06:46:30.000+00:00",77052
"2024-05-09T06:47:00.000+00:00",77288
"2024-05-09T06:47:30.000+00:00",77292
"2024-05-09T06:48:00.000+00:00",77297
"2024-05-09T06:48:30.000+00:00",77303
"2024-05-09T06:49:00.000+00:00",77411
"2024-05-09T06:49:30.000+00:00",77463
"2024-05-09T06:50:00.000+00:00",77467
"2024-05-09T06:50:30.000+00:00",77474
"2024-05-09T06:51:00.000+00:00",77479
"2024-05-09T06:51:30.000+00:00",77547
"2024-05-09T06:52:00.000+00:00",77639
"2024-05-09T06:52:30.000+00:00",77645
"2024-05-09T06:53:00.000+00:00",77649
"2024-05-09T06:53:30.000+00:00",77653
"2024-05-09T06:54:00.000+00:00",77689
"2024-05-09T06:54:30.000+00:00",77815
"2024-05-09T06:55:00.000+00:00",77819
"2024-05-09T06:55:30.000+00:00",77823
"2024-05-09T06:56:00.000+00:00",77827
"2024-05-09T06:56:30.000+00:00",77833
"2024-05-09T06:57:00.000+00:00",77955
"2024-05-09T06:57:30.000+00:00",77993
"2024-05-09T06:58:00.000+00:00",77997
"2024-05-09T06:58:30.000+00:00",78003
"2024-05-09T06:59:00.000+00:00",78007
"2024-05-09T06:59:30.000+00:00",78094
"2024-05-09T07:00:00.000+00:00",78167
"2024-05-09T07:00:30.000+00:00",78172
"2024-05-09T07:01:00.000+00:00",78178
"2024-05-09T07:01:30.000+00:00",78182
"2024-05-09T07:02:00.000+00:00",78234
